% Model,infinitegrating_4.59um-DRS_Ti-Ag_EE_1storder_mod_addthickcap.mph,,,,,,,,,,,,,
% Version,COMSOL 5.1.0.234,,,,,,,,,,,,,
% Date,"Jun 25 2024, 10:37",,,,,,,,,,,,,
% Table,Accumulated Probe Table 1 - ,,,,,,,,,,,,,
% Cladding1,Grating_Layer,DutyCycle,Refinement level,Eigenfrequency,"Frequency, Global Var freq","emw.damp/emw.freq/(Period[um]), Global Var Loss","-emw.Poavy/emw.freq/(Period[um])/2 (N/cm), Boundary Probe 1","Energy density time average (J/m), Domain Probe 1","(freq*2*pi/c_const-2*pi/wavelength[um])*wavelength/Period/2, delta kappa","c_const/emw.freq, Global Var wavelength","bnd1/dom1, Global Variable Surface Loss","abs(emw.Ey)^2 (kg^2*m^4/(s^6*A^2)), Domain Probe Core Ey2","emw.normE^2 (kg^2*m^4/(s^6*A^2)), Domain Probe All E2","dom2/dom3, Global Var Gamma"
2.4,0.12,0.5,0,6.531297282678078E13+3.6604104111114264E9i,6.53E+13,4.859656835,-5.03E-12,1.96E-07,-0.8550908515912697+2.429780494799497i,4.590090529,-2.57E-05,2745.202088,4315.885179,0.636069305
2.4,0.12,0.5,0,6.533394460404071E13+3.2626855860197277E10i,6.53E+13,43.30236505,-7.07E-12,1.90E-07,13.0659752596737+21.657707489601158i,4.588617139,-3.72E-05,2584.998366,4186.336243,0.617484649
2.4,0.12,0.5,0,6.708524034202776E13+1.2170917168765709E10i,6.71E+13,15.73155305,6.33E-07,1.09E-07,1175.5761167097344+8.079055029107503i,4.468828858,5.788985603,24.61128332,2582.592475,0.009529681
2.4,0.12,0.2,0,6.531067491310537E13+1.0128139859762905E10i,6.53E+13,13.44685713,-4.94E-12,1.83E-07,-2.3804459894508976+6.723059415728476i,4.590252028,-2.70E-05,2550.234851,4036.284302,0.631827359
2.4,0.12,0.2,0,6.531376068896343E13+2.163906223092538E9i,6.53E+13,2.872823983,-4.83E-12,1.89E-07,-0.3321079209949268+1.436400988666471i,4.59003516,-2.56E-05,2654.148923,4166.415264,0.637034178
2.4,0.12,0.2,0,6.6436889617734125E13+9.208031145185706E11i,6.64E+13,1201.801551,-1.66E-10,1.93E-07,745.2008946046634+611.22912349288i,4.512439696,-8.60E-04,76.38995124,4175.210968,0.01829607
2.4,0.12,0.2,0,6.708187565684015E13+8.73116826961013E9i,6.71E+13,11.28606204,5.82E-07,1.09E-07,1173.3426386234567+5.795749649796624i,4.469053005,5.347127383,24.70638176,2570.894689,0.009610033
2.4,0.12,0.7,0,6.4611048296426164E13+3.690025233349026E11i,6.46E+13,495.2195956,-9.69E-15,2.30E-07,-466.7926063552395+244.9438814317833i,4.639956569,-4.21E-08,69.18252481,4893.486932,0.014137674
2.4,0.12,0.7,0,6.5311069912373664E13+6.895994210087009E9i,6.53E+13,9.155569472,-4.98E-12,1.93E-07,-2.1182454682600502+4.577561077046565i,4.590224267,-2.59E-05,2689.207485,4247.155079,0.633178548
2.4,0.12,0.7,0,6.534270486211225E13+1.4469583741690645E10i,6.53E+13,19.20145779,-6.88E-12,1.90E-07,18.88103472049893+9.604909940345378i,4.58800196,-3.62E-05,2651.565732,4179.793928,0.634377143
2.4,0.12,0.7,0,6.6562132369619625E13+6.676124399069745E11i,6.66E+13,869.7060007,-1.23E-09,2.44E-07,828.3370354927565+443.16114926548i,4.503949127,-0.005034928,87.49475567,4978.695579,0.017573831
2.4,0.01,0.5,0,6.4368148411677836E13+3.827409615402542E11i,6.44E+13,515.5955965,-1.50E-15,1.65E-07,-628.0295540917487+254.06345695234245i,4.657465927,-9.06E-09,30.93714247,3566.469956,0.008674444
2.4,0.01,0.5,0,6.531354516591032E13+2.0370955869172003E9i,6.53E+13,2.704477813,-4.21E-12,1.65E-07,-0.4751721274153312+1.352224086159412i,4.590050306,-2.55E-05,2319.512048,3642.229637,0.636838497
2.4,0.01,0.5,0,6.534135442662043E13+9.955812309619164E9i,6.53E+13,13.21185628,-5.70E-12,1.63E-07,17.984615617454725+6.608668384934552i,4.588096782,-3.50E-05,2294.87735,3585.6351,0.640019769
2.4,0.01,0.5,0,6.708118144396003E13+8.958712220191303E9i,6.71E+13,11.58030921,4.77E-07,9.71E-08,1172.8818201015167+5.946793328164887i,4.469099255,4.909412951,22.1740868,2293.402795,0.00966864
2.4,0.01,0.2,0,6.448868207814328E13+4.0326776515029376E11i,6.45E+13,542.232169,-3.42E-15,1.57E-07,-548.0193041876992+267.68914954704525i,4.648760811,-2.18E-08,38.73711621,3394.913177,0.011410341
2.4,0.01,0.2,0,6.531367242196E13+1.974047544778294E9i,6.53E+13,2.620769206,-4.07E-12,1.60E-07,-0.39069955941478274+1.3103727946869084i,4.590041363,-2.55E-05,2243.382351,3522.043623,0.636954732
2.4,0.01,0.2,0,6.534295048121526E13+1.2426493702987642E10i,6.53E+13,16.49017012,-5.58E-12,1.55E-07,19.04407668536748+8.248706736985898i,4.587984714,-3.60E-05,2177.273461,3412.353395,0.638056265
2.4,0.01,0.2,0,6.708142276497525E13+8.49796128135207E9i,6.71E+13,10.98468874,4.78E-07,9.19E-08,1173.0420089956351+5.640946846919578i,4.469083177,5.200606682,20.95003228,2172.104541,0.009645039
2.4,0.01,0.7,0,6.4346632224590586E13+3.7540422412546796E11i,6.43E+13,505.8812767,-1.29E-15,1.69E-07,-642.3119994558933+249.19333052832198i,4.659023287,-7.63E-09,30.17344384,3649.111515,0.00826871
